Andres Sanin-S0001;-76.48313641548157,3.443691624435684 -76.4826911687851,3.443683592338538 -76.48251950740814,3.443686269704342 -76.4824041724205,3.443702333898927 -76.48228347301483,3.443734462287449 -76.48225665092468,3.4438027351095024 -76.48221373558044,3.4438335248119727 -76.48216143250465,3.443869669243991 -76.48207157850266,3.4438951042138477 -76.48195624351501,3.4438040737919913
S00001-S00002;-76.48195624351501,3.4438040737919913 -76.4817363023758,3.4439031363091748 -76.4816290140152,3.444004876180954 -76.48142248392105,3.444414512923079 -76.48113012313843,3.445091885711217 -76.48090481758118,3.4457398070574534 -76.48089408874512,3.445903126004872 -76.48100137710571,3.4460958958739547 -76.48116499185562,3.4462083449462133 -76.48143589496613,3.4462538600431123 -76.48184359073639,3.4463047298547123
S00002-S00003;-76.48184359073639,3.4463047298547123 -76.48356020450592,3.4465162411474717
S00003-S00004;-76.48356020450592,3.4465162411474717 -76.48408859968185,3.446387727962534 -76.48431658744812,3.446307407213138 -76.48630946874619,3.4456032616864665
S00004-7 de Agosto;-76.48630946874619,3.4456032616864665 -76.48716509342194,3.4453167840797336
7 de Agosto-S00005;-76.48716509342194,3.445316784079797 -76.48805290460587,3.444987468593489
S00005-S00006;-76.48805290460587,3.444987468593489 -76.48936986923218,3.444518930103668 -76.49013429880142,3.4442110332562095
S00006-S00007;-76.49013429880142,3.4442110332562095 -76.49130642414093,3.443758558577946 -76.49192869663239,3.443683592338296 -76.49257242679596,3.4434961767133445 -76.4932644367218,3.443201666371052 -76.49355411529541,3.4430945716785444
S00007-S00008;-76.49355411529541,3.4430945716785444 -76.4937150478363,3.44311063588318 -76.49383306503296,3.4431802474335096 -76.49398058652878,3.4432980515840192 -76.49416029453278,3.4433810499540205 -76.49449557065964,3.4434024688870464
S00008-S00009;-76.49449557065964,3.4434024688870464 -76.49541825056076,3.4435202730100505
El Trebol-Villa Colombia;-76.49593591690063,3.4435925618965038 -76.496542096138,3.4436434318503384 -76.49710536003113,3.4437050112645156 -76.49889975786209,3.443927232595575
Villacolombia-S00010;-76.49889975786209,3.443927232595575 -76.49935573339462,3.4439727478015674
S00010-Chapinero;-76.49935573339462,3.4439727478015674 -76.50116354227066,3.4442190653491576 -76.50227665901184,3.4443529335548293
Chapinero-S00011;-76.50227665901184,3.4443529335548293 -76.5027916431427,3.4444091581955543
S00011-S00012;-76.5027916431427,3.4444091581955543 -76.50422394275665,3.444588541551024 -76.50485694408417,3.444626024635952 -76.50584936141968,3.444690281349549 -76.5064287185669,3.444735796519054
S00012-Atanasio Girardot;-76.5064287185669,3.444735796519054 -76.5083384513855,3.44489376091398
Atanasio Girardot-S00013;-76.5083384513855,3.44489376091398 -76.5088614821434,3.444925889262273
S00013-S00014;-76.5088614821434,3.444925889262273 -76.51150345802307,3.445091885711217
S00014-Floresta;-76.51150345802307,3.445091885711217 -76.51463896036148,3.4453194614409455
Floresta-S00015;-76.51463896036148,3.4453194614409455 -76.51504665613174,3.4453542671359987
S00015-Belalcazar;-76.51504665613174,3.4453542671359987 -76.51665598154068,3.4454881351819813 -76.5168222784996,3.44548545782124 -76.51703149080276,3.4454399426875995 -76.51733189821243,3.4453301708857036 -76.51820361614227,3.4450436931967725 -76.52075976133347,3.4442003237988565
Belalcazar-S00016;-76.52075976133347,3.4442003237988565 -76.52119427919388,3.444039681924046
S00016-S00017;-76.52119427919388,3.444039681924046 -76.52245491743088,3.4436139808247717
S00017-S00018;-76.52245491743088,3.4436139808247717 -76.52331590652466,3.4433408894533026
SOOO19-San Pascual;-76.52578085660934,3.442596581200161 -76.52646213769913,3.4426447738384947 -76.52748137712479,3.4427197401599106
San Pascual-S00020;-76.52748137712479,3.4427197401599106 -76.52815729379654,3.4427625780552233 -76.52843087911606,3.4427599006868235
S00021-S00022;-76.53069466352463,3.4426447738384947 -76.5310138463974,3.4426099680443865 -76.53122305870056,3.442580516986849 -76.5313920378685,3.442535001714307 -76.53165489435196,3.4424814543320874 -76.5317702293396,3.4424734222244835
S00022-San Bosco;-76.5317702293396,3.4424734222244835 -76.53199017047882,3.4424680674860553 -76.53212428092957,3.4424412937934314 -76.53236299753189,3.442379714297552 -76.5326526761055,3.442294038470554
San Bosco-S00023;-76.5326526761055,3.442294038470554 -76.53306037187576,3.442160169975464
S00023-S00024;-76.53306037187576,3.442160169975464 -76.53358340263367,3.4418696752764273 -76.5341117978096,3.4416220184353636
S00024-S00025;-76.5341117978096,3.4416220184353636 -76.53417080640793,3.4415738257453015 -76.53432905673981,3.4414854724738495 -76.53456509113312,3.4413355396308214 -76.53513640165329,3.441062447606117 -76.53546094894409,3.4408937730811764 -76.53610736131668,3.44055374656711 -76.53626829385757,3.44050019907352 -76.5363997220993,3.440473425325593 -76.53649628162384,3.4404466515769276 -76.53660088777542,3.440350266075459 -76.53680741786957,3.4401360760373483 -76.53703540563583,3.4398629836689154
S00025-Santa Librada;-76.53703540563583,3.4398629836689154 -76.53733044862747,3.439522956787838
Santa Librada-Manzana del Saber;-76.53733044862747,3.439522956787838 -76.53747797012329,3.4393355403437034 -76.53757989406586,3.439153478620567 -76.53770595788956,3.4389178692801683 -76.53779983520508,3.438717065819091 -76.53792321681976,3.4385510682593576 -76.53808146715164,3.4383556194826266 -76.53818607330322,3.438227105196644 -76.53833895921707,3.43805843016999 -76.53838723897934,3.437988818245551 -76.53845965862274,3.437854949145774 -76.53851866722107,3.4377210800272198 -76.53855621814728,3.4376059525702343 -76.53861254453659,3.4374613738836435 -76.53869301080704,3.4373676654639684 -76.53883248567581,3.4372150545893563 -76.53896123170853,3.4371213461454704 -76.53913021087646,3.4370142507697543 -76.53930455446243,3.436920542306162 -76.53947085142136,3.436767931360013 -76.53967201709747,3.4365216118866733 -76.53999924659729,3.436144100396508 -76.54024600982666,3.4358013948009187 -76.54047131538391,3.435608622849323 -76.54069125652313,3.435378367411655 -76.54103457927704,3.434936598102485
Manzana del Saber-S00026;-76.54103457927704,3.434936598102485 -76.54153615236282,3.434261895490266
S00026-S00027;-76.54153615236282,3.434261895490266 -76.5416944026947,3.433953995330209 -76.54181778430939,3.4337933517290447 -76.5420913696289,3.433439935711313 -76.54238641262054,3.433038326441502 -76.5425232052803,3.432893747063039
S00027-Estadio;-76.5425232052803,3.432893747063039 -76.54278337955475,3.4325242663297217 -76.54296576976776,3.4322565265786045 -76.54313206672668,3.431959335366999 -76.54322326183319,3.4318415298160914
Estadio-S00028;-76.54322326183319,3.4318415298160914 -76.5435129404068,3.431255179244361
S00028-S00029;-76.5435129404068,3.431255179244361 -76.54376238584518,3.4308321498413354 -76.54409766197205,3.4302190246147233 -76.54461801052094,3.4292203525521305 -76.54525369405746,3.4279860674089084 -76.54595375061035,3.426411749123204
S00029-S00030;-76.54595375061035,3.426411749123204 -76.54601275920868,3.426355523422222 -76.54626488685608,3.4256593954223216 -76.54650628566742,3.42493113789591 -76.54661357402802,3.424593783118715
S00030-Tequendama;-76.54661357402802,3.424593783118715 -76.54676377773285,3.424176105610842 -76.54690861701965,3.42390568610152 -76.54705345630646,3.4235147825174583
Tequendama-S00031;-76.54705345630646,3.4235147825174583 -76.54708832502365,3.4234960405607717 -76.54721170663834,3.4230917496919147 -76.54724657535553,3.4228507815432243 -76.5474209189415,3.4223527805104887
S00031-S00032;-76.5474209189415,3.4223527805104887 -76.5476194024086,3.4217958758232125 -76.54824167490005,3.4201787084546957
S00032-Lido;-76.54824167490005,3.4201787084546957 -76.54834896326065,3.4197770936190794 -76.54838383197784,3.419423672424588 -76.54839187860489,3.4192737361209 -76.54837310314178,3.41882124963372
Unidad Deportiva-S00033;-76.54845356941223,3.4148666692991423 -76.54845625162125,3.4148398948337455 -76.54848039150238,3.41417588785353
S00033-S00034;-76.54848039150238,3.41417588785353 -76.54845356941223,3.4139429498121676 -76.54838919639587,3.4137073342645854 -76.54821217060089,3.4134021049465573 -76.54812097549438,3.4131557794612823 -76.54804587364197,3.4128987441049787 -76.54798686504364,3.4125453203777605 -76.54792249202728,3.4121865416126202 -76.54784202575684,3.4117742136126257
S00034-Plaza de Toros;-76.54784202575684,3.4117742136126257 -76.54748529195786,3.4096938287333036
Plaza de Toros-S00035;-76.54748529195786,3.4096938287333036 -76.54741287231445,3.409187788487439
S00035-S00036;-76.54741287231445,3.409187788487439 -76.5473860502243,3.4083417100213493 -76.54735386371613,3.407795507072042 -76.5472948551178,3.4072921432952055 -76.54723048210144,3.4067780693790035 -76.54717683792114,3.40613547659766 -76.54703736305237,3.405450043824738 -76.54697299003601,3.4047646105638942 -76.54688984155655,3.4041139840095065
S00036-Pampalinda;-76.54688984155655,3.4041139840095065 -76.54684960842133,3.4038248165109275
Pampalinda-Refugio;-76.54684960842133,3.4038248165109275 -76.5466833114624,3.4027993421820275 -76.5466296672821,3.402199586455147 -76.54658138751984,3.4011339481268936 -76.54654383659363,3.4004056720088807 -76.54651165008545,3.3995863607186614 -76.54654920101166,3.3989758930303524 -76.54651165008545,3.3986760140244
Refugio-S00037;-76.54651165008545,3.3986760140244 -76.54649019241333,3.398327940061337
S00037-Caldas;-76.54649019241333,3.398327940061337 -76.54649555683136,3.397795118905419 -76.54650628566742,3.3974095596945872 -76.54649555683136,3.3971551976308536 -76.54642045497894,3.3966678932794876 -76.54632925987244,3.3961002637248674 -76.54619246721268,3.3953452088001277 -76.54594033956528,3.394057330066417
Caldas-Capri;-76.54594033956528,3.394057330066417 -76.54593497514725,3.393329383297017 -76.54581695795059,3.392681761227414 -76.54571503400803,3.3919484584015254 -76.54555946588516,3.391204444970396 -76.54538780450821,3.3902786946656964 -76.54523760080338,3.3891625050325422 -76.54505789279938,3.388038281548637
Capri-S00038;-76.54505789279938,3.388038281548637 -76.54495596885681,3.387336770788006
S00038-S00039;-76.54495596885681,3.387336770788006 -76.54485404491425,3.3865254809919563 -76.54476553201675,3.386217565544869
S00039-S00040;-76.54476553201675,3.386217565544869 -76.54470920562744,3.38560173435695 -76.54463678598404,3.385133166886424 -76.54451072216034,3.3842388717707466 -76.54443562030792,3.3837247855820687 -76.54430955648422,3.383178568707797
S00040-Melendez;-76.54430955648422,3.383178568707797 -76.5439635515213,3.381609532249103 -76.54342710971832,3.379301491069656 -76.54305428266525,3.377925231883257 -76.54285579919815,3.3771166117624687
Melendez-S00041;-76.54285579919815,3.3771166117624687 -76.54274851083755,3.376784595358908
S00041-Buitrera;-76.54274851083755,3.376784595358908 -76.54263317584991,3.376369574694832 -76.54244542121887,3.3755368552790674 -76.5421986579895,3.374728233169682 -76.54202163219452,3.3742569828882796 -76.54188215732574,3.3739410308670714 -76.54158174991608,3.3735099436216456 -76.54132962226868,3.3732823508994096 -76.54085218906403,3.3729369453721074 -76.54044985771179,3.3727334505853896 -76.5401628613472,3.3726183153582965
Buitrera-S00042;-76.5401628613472,3.3726183153582965 -76.53954058885574,3.372278264724099
S00042-S00043;-76.53954058885574,3.372278264724099 -76.53771668672562,3.3712420467039967 -76.53747528791428,3.371140299138608 -76.53731167316437,3.3710787150807193
S00042-S00044;-76.53954058885574,3.372278264724099 -76.53732240200043,3.3709421591123405
Univalle-S00045;-76.5367403626442,3.370835056378627 -76.5363085269928,3.3705887200463502 -76.5361475944519,3.370537846230826 -76.53590619564056,3.370425388313382 -76.53547704219818,3.3701977948692488 -76.53372287750244,3.369303485996756 -76.53315156698227,3.3690196632486455 -76.52990877628326,3.3673890196300404
S00045-Universidades;-76.52990877628326,3.3673890196300404 -76.52918457984924,3.366987382851612
S00054-Torre de Cali;-76.53041571378708,3.4551694222953824 -76.53052635490894,3.455631262204129 -76.53052970767021,3.456082392564597 -76.53046868741512,3.4564317841800545 -76.53022527694702,3.456824012928344
S00020-S00021;-76.52843087911606,3.4427599006868235 -76.5297880768776,3.442692966474373 -76.53069466352463,3.4426447738384947
